Datetime,Temperature,Humidity,Precipitation,Dew/Frost Point,Wet Bulb Temperature,Soil Temperature
2025041511,13.9,45,0.0,2.2,7.9,15.6
2025041512,15.1,38,0.0,0.9,8.1,17.4
2025041513,15.9,35,0.0,0.5,8.4,18.6
2025041514,16.4,35,0.0,0.9,8.8,19.3
2025041515,16.4,36,0.0,1.3,8.9,19.3
2025041516,15.8,38,0.0,1.5,8.7,18.5
2025041517,14.8,42,0.0,2.0,8.3,17.1
2025041518,13.7,47,0.0,2.6,8.0,15.7
2025041519,12.6,53,0.0,3.3,7.7,14.4
2025041520,11.5,60,0.0,4.0,7.4,13.2
2025041521,10.7,66,0.0,4.6,7.2,12.2
2025041522,10.1,70,0.0,4.9,7.1,11.5
2025041523,9.8,73,0.0,5.2,7.1,11.0
2025041600,9.5,76,0.0,5.5,7.1,10.6
2025041601,9.3,78,0.0,5.7,7.1,10.4
2025041602,9.2,79,0.0,5.7,7.1,10.3
2025041603,9.0,80,0.0,5.7,7.0,10.1
2025041604,8.6,82,0.0,5.7,6.8,9.8
2025041605,8.2,85,0.0,5.9,6.7,9.4
2025041606,8.2,85,0.0,5.9,6.7,9.4
2025041607,8.8,82,0.0,5.9,7.0,9.9
2025041608,9.8,77,0.0,6.0,7.4,10.7
2025041609,10.8,71,0.0,5.8,7.8,11.8
2025041610,11.9,64,0.1,5.3,8.1,13.3
2025041611,13.0,56,0.1,4.5,8.3,15.0
2025041612,14.0,49,0.1,3.4,8.4,16.5
2025041613,14.8,43,0.0,2.3,8.4,17.4
2025041614,15.4,38,0.0,1.2,8.4,18.1
2025041615,15.8,34,0.0,-0.0,8.2,18.3
2025041616,15.8,31,0.0,-1.3,7.8,18.0
2025041617,15.5,30,0.0,-2.0,7.4,17.2
2025041618,14.8,32,0.0,-1.7,7.2,16.3
2025041619,13.7,40,0.0,0.3,7.2,15.1
2025041620,12.2,50,0.0,2.1,7.0,13.8
2025041621,11.0,59,0.0,3.3,6.8,12.6
2025041622,10.2,64,0.0,3.7,6.6,11.5
2025041623,9.6,66,0.0,3.6,6.3,10.6
2025041700,9.3,68,0.0,3.7,6.1,10.0
2025041701,10.2,94,0.1,9.2,9.5,
2025041702,9.9,95,0.1,9.1,9.3,
2025041703,9.8,96,0.1,9.2,9.3,
2025041704,9.9,97,0.1,9.5,9.5,
2025041705,10.1,97,0.1,9.7,9.7,
2025041706,10.2,96,0.1,9.6,9.7,
2025041707,10.1,93,0.0,9.0,9.3,
2025041708,10.0,90,0.0,8.4,8.9,
2025041709,9.9,87,0.0,7.8,8.5,
2025041710,10.1,85,0.0,7.6,8.5,
2025041711,10.3,84,0.0,7.7,8.6,
2025041712,10.4,83,0.0,7.6,8.6,
2025041713,10.3,82,0.0,7.3,8.4,
2025041714,10.0,82,0.0,7.0,8.1,
2025041715,9.7,83,0.0,7.0,7.9,
2025041716,9.6,85,0.0,7.2,8.0,
2025041717,9.6,87,0.0,7.5,8.2,
2025041718,9.5,89,0.0,7.8,8.3,
2025041719,9.4,91,0.1,8.0,8.4,
2025041720,9.3,93,0.1,8.2,8.5,
2025041721,9.3,95,0.1,8.5,8.7,
2025041722,9.6,96,0.9,8.9,9.1,
2025041723,10.0,97,0.9,9.5,9.6,
2025041800,10.2,97,0.9,9.8,9.8,
2025041801,10.2,97,0.7,9.7,9.8,
2025041802,10.0,96,0.7,9.4,9.5,
2025041803,9.8,96,0.7,9.2,9.3,
2025041804,9.6,96,0.5,9.0,9.1,
2025041805,9.5,96,0.5,8.8,9.0,
2025041806,9.3,96,0.5,8.7,8.8,
2025041807,9.3,96,0.6,8.7,8.8,
2025041808,9.3,96,0.6,8.7,8.8,
2025041809,9.4,96,0.6,8.8,8.9,
2025041810,9.6,96,0.5,8.9,9.1,
2025041811,9.8,96,0.5,9.1,9.3,
2025041812,9.9,96,0.5,9.3,9.4,
2025041813,10.1,96,0.3,9.4,9.6,
2025041814,10.3,96,0.3,9.6,9.8,
2025041815,10.3,96,0.3,9.7,9.8,
2025041816,10.2,96,0.2,9.6,9.7,
2025041817,10.0,96,0.2,9.4,9.5,
2025041818,9.8,96,0.2,9.2,9.3,
2025041819,9.6,96,0.0,8.9,9.1,
2025041820,9.3,95,0.0,8.5,8.7,
2025041821,9.0,95,0.0,8.2,8.4,
2025041822,8.8,94,0.0,7.9,8.1,
2025041823,8.7,94,0.0,7.7,8.0,
2025041900,8.5,93,0.0,7.4,7.7,
2025041901,8.3,93,0.0,7.2,7.5,
2025041902,8.1,93,0.0,7.0,7.3,
2025041903,7.8,93,0.0,6.7,7.0,
2025041904,7.5,92,0.0,6.2,6.6,
2025041905,7.1,91,0.0,5.7,6.1,
2025041906,6.9,88,0.0,5.1,5.7,
2025041907,7.1,84,0.0,4.5,5.5,
2025041908,7.5,78,0.0,3.9,5.3,
2025041909,7.8,73,0.0,3.3,5.2,
2025041910,8.2,67,0.0,2.4,5.0,
2025041911,8.5,62,0.0,1.6,4.9,
2025041912,8.8,57,0.0,0.7,4.7,
2025041913,9.2,54,0.0,0.3,4.7,
2025041914,9.5,53,0.0,0.4,4.9,
2025041915,9.6,52,0.0,0.2,4.9,
2025041916,9.3,52,0.0,-0.1,4.7,
2025041917,8.8,53,0.0,-0.3,4.3,
2025041918,8.2,55,0.0,-0.3,4.0,
2025041919,7.6,59,0.0,0.1,3.8,
2025041920,7.0,64,0.0,0.7,3.7,
2025041921,6.4,69,0.0,1.1,3.5,
2025041922,5.9,72,0.0,1.2,3.3,
2025041923,5.4,74,0.0,1.1,3.0,
2025042000,5.0,76,0.0,1.1,2.8,
2025042001,4.7,78,0.0,1.1,2.6,
2025042002,4.3,79,0.0,1.0,2.4,
2025042003,4.1,79,0.0,0.8,2.2,
2025042004,3.9,79,0.0,0.6,2.0,
2025042005,3.8,79,0.0,0.5,1.9,
2025042006,4.2,76,0.0,0.4,2.0,
2025042007,5.5,70,0.0,0.5,2.8,
2025042008,7.3,62,0.0,0.5,3.8,
2025042009,9.0,55,0.0,0.4,4.7,
2025042010,10.5,52,0.0,1.0,5.7,
2025042011,11.8,50,0.0,1.7,6.7,
2025042012,12.9,49,0.0,2.4,7.5,
2025042013,13.7,48,0.0,2.9,8.1,
2025042014,14.2,48,0.0,3.3,8.5,
2025042015,14.4,49,0.0,3.8,8.8,
2025042016,14.3,53,0.0,4.8,9.1,
2025042017,13.8,58,0.0,5.6,9.2,
2025042018,13.1,63,0.0,6.2,9.1,
2025042019,12.2,68,0.0,6.4,8.8,
2025042020,11.1,73,0.0,6.4,8.2,
2025042021,10.2,76,0.0,6.2,7.7,
2025042022,10.1,73,0.0,5.4,7.3,
2025042023,10.2,68,0.0,4.5,6.9,
2025042100,10.0,66,0.0,3.9,6.6,
2025042101,9.2,70,0.0,4.0,6.2,
2025042102,8.1,77,0.0,4.3,5.8,
2025042103,7.2,81,0.0,4.2,5.3,
2025042104,6.7,79,0.0,3.3,4.7,
2025042105,6.4,75,0.0,2.3,4.0,
2025042106,6.5,70,0.0,1.4,3.7,
2025042107,7.2,65,0.0,1.0,3.9,
2025042108,8.2,59,0.0,0.7,4.3,
2025042109,9.1,55,0.0,0.5,4.8,
2025042110,9.9,53,0.0,0.7,5.3,
2025042111,10.5,53,0.0,1.3,5.8,
2025042112,10.8,54,0.0,1.9,6.2,
2025042113,10.7,55,0.0,2.0,6.2,
2025042114,10.4,57,0.0,2.2,6.1,
2025042115,10.0,58,0.0,2.1,5.8,
2025042116,9.7,58,0.0,1.8,5.6,
2025042117,9.4,58,0.0,1.6,5.3,
2025042118,9.1,59,0.0,1.5,5.1,
2025042119,8.8,61,0.0,1.7,5.0,
2025042120,8.5,65,0.0,2.3,5.1,
2025042121,8.0,68,0.0,2.5,4.9,
2025042122,7.4,72,0.0,2.6,4.7,
2025042123,6.7,76,0.0,2.7,4.4,
2025042200,6.0,79,0.0,2.6,4.0,
2025042201,5.6,81,0.0,2.6,3.7,
2025042202,5.2,83,0.0,2.5,3.5,
2025042203,5.0,83,0.0,2.4,3.4,
2025042204,5.1,82,0.0,2.2,3.4,
2025042205,5.4,79,0.0,2.0,3.4,
2025042206,5.7,77,0.0,2.0,3.5,
2025042207,6.1,75,0.0,2.0,3.8,
2025042208,6.6,74,0.0,2.3,4.1,
2025042209,7.3,71,0.0,2.4,4.5,
2025042210,8.6,66,0.0,2.6,5.3,
2025042211,10.1,61,0.0,2.9,6.2,
2025042212,11.3,57,0.0,3.1,6.9,
2025042213,12.0,57,0.0,3.7,7.5,
2025042214,12.3,59,0.0,4.5,8.0,
2025042215,12.5,61,0.0,5.2,8.4,
2025042216,12.6,63,0.0,5.7,8.6,
2025042217,12.5,65,0.0,6.1,8.7,
2025042218,12.2,68,0.0,6.5,8.8,
2025042219,11.8,71,0.0,6.7,8.7,
2025042220,11.3,74,0.0,6.8,8.6,
2025042221,10.8,76,0.0,6.7,8.3,
2025042222,10.4,78,0.0,6.7,8.1,
2025042223,10.0,80,0.0,6.7,7.9,
